province,city,city_code,location_id,lat,lon,region,city_level,tags
北京,北京市,101010100,101010100,39.905,116.4053,华北,地级市,高收入
天津,天津市,101030100,101030100,39.1256,117.1902,华北,地级市,
河北,石家庄市,101090101,101090101,38.0455,114.5025,华北,地级市,
河北,唐山市,101090501,101090501,39.6351,118.1754,华北,地级市,
河北,秦皇岛市,101091101,101091101,39.8882,119.5202,华北,地级市,
河北,邯郸市,101091001,101091001,36.6123,114.4907,华北,地级市,
河北,邢台市,101090901,101090901,37.0602,114.4974,华北,地级市,
河北,保定市,101090201,101090201,38.8677,115.4823,华北,地级市,
河北,张家口市,101090301,101090301,40.8119,114.8841,华北,地级市,
河北,承德市,101090402,101090402,40.9762,117.9392,华北,地级市,
河北,沧州市,101090701,101090701,38.3106,116.8575,华北,地级市,
河北,廊坊市,101090601,101090601,39.5239,116.7044,华北,地级市,
河北,衡水市,101090801,101090801,37.7351,115.666,华北,地级市,
山西,太原市,101100101,101100101,37.857,112.5492,华北,地级市,
山西,大同市,101100201,101100201,40.0971,113.3668,华北,地级市,
山西,阳泉市,101100301,101100301,37.8612,113.5833,华北,地级市,
山西,长治市,101100501,101100501,36.1911,113.1136,华北,地级市,
山西,晋城市,101100601,101100601,35.4976,112.8513,华北,地级市,
山西,朔州市,101100901,101100901,39.3313,112.4334,华北,地级市,
山西,晋中市,101100401,101100401,37.6965,112.7365,华北,地级市,
山西,运城市,101100801,101100801,35.0228,111.004,华北,地级市,
山西,忻州市,101101001,101101001,38.4177,112.7335,华北,地级市,
山西,临汾市,101100701,101100701,36.0841,111.518,华北,地级市,
山西,吕梁市,101101100,101101100,37.5244,111.1343,华北,地级市,
内蒙古,呼和浩特市,101080101,101080101,40.8421,111.7488,华北,地级市,
内蒙古,包头市,101080201,101080201,40.6213,109.9532,华北,地级市,
内蒙古,乌海市,101080301,101080301,39.6737,106.8256,华北,地级市,
内蒙古,赤峰市,101080601,101080601,42.2569,118.8876,华北,地级市,
内蒙古,通辽市,101080501,101080501,43.6174,122.2631,华北,地级市,
内蒙古,鄂尔多斯市,101080701,101080701,39.6087,109.7825,华北,地级市,
内蒙古,呼伦贝尔市,101081013,101081013,49.1665,119.7785,华北,地级市,
内蒙古,巴彦淖尔市,101080811,101080811,40.7574,107.417,华北,地级市,
内蒙古,乌兰察布市,101080405,101080405,41.0341,113.1145,华北,地级市,
内蒙古,兴安盟,101081108,101081108,46.0763,122.0703,华北,地级市,
内蒙古,锡林郭勒盟,101080902,101080902,43.944,116.091,华北,地级市,
内蒙古,阿拉善盟,101081213,101081213,38.8448,105.7064,华北,地级市,
辽宁,沈阳市,101070101,101070101,41.6776,123.4647,东北,地级市,场站城市|暑期旅游
辽宁,大连市,101070201,101070201,38.9146,121.6186,东北,地级市,场站城市|暑期旅游
辽宁,鞍山市,101070301,101070301,41.1106,122.9956,东北,地级市,场站城市|暑期旅游
辽宁,抚顺市,101070401,101070401,41.8813,123.9571,东北,地级市,场站城市|暑期旅游
辽宁,本溪市,101070501,101070501,41.4868,123.685,东北,地级市,场站城市|暑期旅游
辽宁,丹东市,101070601,101070601,40.0007,124.3544,东北,地级市,场站城市|暑期旅游
辽宁,锦州市,101070701,101070701,41.1193,121.1357,东北,地级市,场站城市|暑期旅游
辽宁,营口市,101070801,101070801,40.6674,122.2352,东北,地级市,场站城市|暑期旅游
辽宁,阜新市,101070901,101070901,42.022,121.6701,东北,地级市,场站城市|暑期旅游
辽宁,辽阳市,101071001,101071001,41.2694,123.1815,东北,地级市,场站城市|暑期旅游
辽宁,盘锦市,101071301,101071301,40.7196,122.1707,东北,地级市,场站城市|暑期旅游
辽宁,铁岭市,101071101,101071101,42.2233,123.7257,东北,地级市,场站城市|暑期旅游
辽宁,朝阳市,101071201,101071201,41.5768,120.4512,东北,地级市,场站城市|暑期旅游
辽宁,葫芦岛市,101071401,101071401,40.711,120.8368,东北,地级市,场站城市|暑期旅游
吉林,长春市,101060101,101060101,43.817,125.3236,东北,地级市,
吉林,吉林市,101060201,101060201,43.8436,126.553,东北,地级市,
吉林,四平市,101060401,101060401,43.1703,124.3708,东北,地级市,
吉林,辽源市,101060701,101060701,42.9027,125.1453,东北,地级市,
吉林,通化市,101060501,101060501,41.7212,125.9365,东北,地级市,
吉林,白山市,101060901,101060901,41.9425,126.4278,东北,地级市,
吉林,松原市,101060801,101060801,45.1182,124.8236,东北,地级市,
吉林,白城市,101060601,101060601,45.619,122.8411,东北,地级市,
吉林,延边朝鲜族自治州,101060306,101060306,42.9048,129.5132,东北,地级市,
